#OTU ID,Catalina_2,Chiricahua_2,Elenita_1,Elenita_2,El_Pinal_2,Galiuro_1,Huachuca_1,Huachuca_2,Mariquita_1,Mariquita_2,Pinaleno_1,Santa_Rita_1
CAT2-RB-099,2,0,0,0,0,0,0,0,0,0,3,0
CAT2-RB-106,2,0,0,0,0,0,0,0,0,0,0,0
CAT2-RB-127,5,0,0,0,0,0,0,0,0,0,0,0
ELE2-RB-748,0,0,0,2,0,0,0,0,0,0,0,0
ELE2-RB-757,0,0,0,1,0,0,0,0,0,0,0,0
ELP1-RB-579,1,0,8,2,7,0,3,4,1,1,0,7
ELP2-RB-620,1,22,4,1,16,2,6,12,16,7,11,1
ELP2-RB-621,0,0,0,0,1,0,0,0,3,0,0,0
ELP2-RB-633,0,0,0,0,1,0,0,0,0,0,0,2
HUA1-CPP-2018-157,0,0,1,0,0,0,15,0,0,0,8,4
HUA2-RB-540,4,8,5,3,0,0,1,7,3,1,3,0
MAR2-RB-807,0,0,1,0,1,0,1,2,0,1,1,0
RIT1-RB-646,0,0,0,0,2,0,0,0,0,0,0,5
RIT1-RB-670,2,0,0,0,0,0,3,0,0,0,0,3
