site,island,orientation_NS,plant_community,pinaceae_richness,elevation_m,Lat,Long,ppt_mm,tmin_C,tmean_C,tmax_C,CAT1-RG-002,CAT1-RM-019,CAT2-RB-099,CAT2-RB-106,CAT2-RB-127,CAT2-RM-048,CHI1-CPP-2017-063,ELE2-RB-748,ELE2-RB-757,ELP1-RB-579,ELP1-RG-501,ELP1-RM-535,ELP2-RB-620,ELP2-RB-621,ELP2-RB-633,HUA1-CPP-2018-157,HUA2-RB-540,MAR2-RB-807,PIN1-RM-105,RIT1-RB-646,RIT1-RB-670
Catalina_1,Catalina,N,Pseudotsuga,3,2560,32.414848,-110.726242,878.81,4.2,10.1,15.9,1,24,0,0,0,0,0,0,0,1,0,7,2,0,0,0,10,0,1,0,0
Catalina_2,Catalina,N,Pinus,2,2165,32.395053,-110.700828,793.16,6.7,12.5,18.3,1,0,2,2,5,1,0,0,0,1,1,1,1,0,0,0,4,0,1,0,2
Chiricahua_1,Chiricahua,N,Pseudotsuga,4,1950,31.908742,-109.249702,690.46,4.2,12,19.8,0,0,0,0,0,1,19,0,0,0,0,7,5,0,0,1,3,0,3,0,2
Chiricahua_2,Chiricahua,N,Pinus,4,2500,31.9179,-109.28027,836.03,4.4,10.7,17,0,2,0,0,0,0,2,0,0,0,0,2,22,0,0,0,8,0,0,0,0
Elenita_1,Elenita,S,Pinus,3,1960,31.001912,-110.390015,355.3,6.9,16.8,26.6,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,1,5,1,0,0,0
Elenita_2,Elenita,S,Pinus,2,2100,31.003795,-110.383758,355.3,6.9,16.8,26.6,0,0,0,0,0,0,0,2,1,2,0,0,1,0,0,0,3,0,0,0,0
El_Pinal_1,El_Pinal,N,Pseudotsuga,4,2300,33.29728,-110.835075,889.07,4.1,10.6,17,5,0,0,0,0,0,1,0,0,4,2,14,37,0,0,0,1,0,7,0,0
El_Pinal_2,El_Pinal,N,Pinus,3,2200,33.29763,-110.839447,834.61,4.1,10.6,17.1,4,0,0,0,0,1,5,0,0,7,3,15,16,1,1,0,0,1,6,2,0
Galiuro_1,Galiuro,N,Pinus,4,1560,32.505997,-110.250382,499.27,7.6,15,22.3,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0
Galiuro_2,Galiuro,N,Pseudotsuga,2,1700,32.516582,-110.264183,510.46,7.1,14.4,21.6,3,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,1,3,0,0
Huachuca_1,Huachuca,S,Pinus,2,1960,31.445602,-110.369728,695.03,5.6,13.1,20.7,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,15,1,1,3,0,3
Huachuca_2,Huachuca,S,Pinus,2,1935,31.450808,-110.375222,629.43,6,13.6,21.2,0,0,0,0,0,2,0,0,0,4,0,1,12,0,0,0,7,2,0,0,0
Mariquita_1,Mariquita,S,Pinus,4,2500,31.05683,-110.381675,355.3,6.9,16.8,26.6,0,0,0,0,0,0,0,0,0,1,0,0,16,3,0,0,3,0,0,0,0
Mariquita_2,Mariquita,S,Pinus,3,2350,31.04995,-110.38041,355.3,6.9,16.8,26.6,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,1,1,0,0,0
Pinaleno_1,Pinaleno,N,Pinus,2,1700,32.647977,-109.816818,644.55,4.9,12.2,19.5,0,0,3,0,0,0,3,0,0,0,1,0,11,0,0,8,3,1,7,0,0
Pinaleno_2,Pinaleno,N,Pseudotsuga,3,2200,32.63496,-109.81716,739.12,6.3,12.2,18.1,2,1,1,0,0,0,1,0,1,2,3,5,5,0,0,0,1,0,8,0,0
Santa_Rita_1,Santa_Rita,S,Pinus,4,1835,31.708182,-110.870942,802.96,8.9,15.7,22.6,0,0,0,0,0,0,0,0,0,7,0,3,1,0,2,4,0,0,0,5,3
